	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
time	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
IL17F	7.57232937303222	7.87184597581489	7.14264983310906	7.59150730917865	8.05265607642428	7.66439453417994	7.63127385816611
FASL	5.73993665962621	5.03452237214431	4.76044992194042	4.96322034430319	4.90483841071177	4.86792753304568	5.03382888392547
TGFA	5.10470301132313	4.83456691611059	4.27353820522891	4.59927442185946	4.87341226589193	4.64860253587008	4.51577654594565
MIP1A	6.38951520972088	5.83961335683854	5.61913202995453	5.56801994843822	6.57355359823518	5.81443991386609	5.95759930608084
SDF1A	8.24240751214838	7.72178832518936	7.72014822408643	7.79755579282782	8.21539463697043	7.79825390151659	7.87854263146446
IL27	5.87027473989454	5.29701400119209	5.05779069181848	5.33491421522161	5.49046334935542	5.29899424241645	5.3570449817085
LIF	5.37131184002575	5.35894272838927	5.18579225486205	5.41218449061185	5.67069910872141	5.37266917175167	5.54690579482255
IL1B	4.80182000233554	4.59500284239836	4.67762222066348	4.73469699460048	4.84602572040868	4.6550524274514	4.87230538411881
IL2	4.93514705288781	5.01515300630024	4.9826468060242	5.0603916934792	5.4350334234642	5.02183068112163	5.22279691703847
IL4	6.39878886545876	5.68578962828383	5.48714316525842	5.8781523776124	6.07513361941588	5.78535008084456	5.9191491352982
IL5	5.72595075334468	5.60558435025814	5.45952535683572	5.74301282850044	6.10505939237883	5.73268230300838	5.72855364683467
IP10	7.46751306121547	6.58941702784665	6.50830733189116	6.75072627297309	6.87961817047916	6.86566817157298	7.0121999104718
IL6	6.16091512460113	5.43560240886976	5.35495346524959	5.56319361484529	5.51547523280307	5.47021276389415	5.46379445321269
IL7	6.45066087223001	6.15857517744214	5.89764144221609	6.2107525719539	6.64255861543279	6.32824518284968	6.1894585470386
IL8	6.63612532111251	5.92639769600534	5.64180052258483	5.96119242715641	5.82161257650256	5.9892914026124	6.08855588149452
IL10	6.99042292255263	6.49431860943298	6.34059517937513	6.54783499690098	6.68147831202704	6.43034005352932	6.53504626576427
IFNB	5.98603683652213	6.31517184666949	5.74236912189612	6.27513612372946	6.66693466786691	6.51213049823939	6.45129890107791
EOTAXIN	6.75176014578315	6.30806725213395	6.53259467647537	6.77127679177857	7.10929726773178	6.88002044779217	6.76294804306848
IL12P70	5.8201396616696	5.57105300344519	5.44999427053947	5.63289119276027	5.93544019115779	5.62697953075065	5.70628291547185
IL13	5.57633875876703	4.91229990106639	4.59404645162431	5.01337122038381	5.24851604839693	5.01355560003179	5.00740213996503
IL17A	6.34867244616084	6.12438877213497	6.18971083113901	6.29696175805382	6.44409630156826	6.25215273119545	6.35053812287816
IL31	4.63753355758935	4.57363711846497	4.09112054870052	4.49930795935078	4.28222513021543	4.39115657310288	4.25443381655209
IL1RA	4.84016614328202	4.72497585305714	4.65772754510515	4.79147342135281	5.00815688402004	4.7269215679649	4.9114149476993
SCF	6.30005214016562	6.01816331598855	5.98619230239485	6.07412677529934	6.33344948443208	6.16437254227978	6.09818610603346
RANTES	10.9010341968897	10.2675032356276	10.2641844846976	10.3124033885426	10.1162167079856	10.283092877386	10.4145305169248
IFNG	6.51589240046637	5.85542701451773	5.76310232839709	6.04455892496451	6.12099272016875	6.03071617435765	6.03829375619212
GMCSF	5.29898889736065	4.94426696497247	5.06440109936706	5.28188405724688	5.24445579637092	5.63207313757549	5.52573413864654
TNFA	7.87087018527285	7.80205357296451	7.77178609824675	7.84093613780071	7.93918682938841	7.84498301746167	7.88197907436283
HGF	6.03157400033813	6.16664899019531	6.31954713819712	6.15729747558159	6.42963220995939	6.27199992902526	6.36924765189791
MIP1B	8.73129136056447	8.49465372282907	8.36715178898668	8.55501326193048	8.80403682025128	8.5523394727319	8.6964055464593
IFNA	7.20009966817229	6.93791805782261	6.75317955590015	6.99215974907898	7.18959196180724	6.92950332661733	6.94821118652814
TGFB	6.08578477531961	5.94689765073073	5.70290730388852	5.96764880803705	6.32115538005629	5.86763192365826	6.10184229115243
MCP1	8.83002550887308	8.95214565893289	8.93120230373786	9.01406101488997	9.15132939954042	9.14540287552033	8.91911136446331
IL9	5.64158269572816	5.04874068576532	4.82183399522811	5.09211439787316	5.16844344758978	5.09159371159146	5.14432417941258
VEGFD	6.33001772895389	6.12570186281097	5.93920814313698	5.94742605932094	6.2403033813978	6.26445118465063	6.48708810367824
TNFB	6.49666917169815	6.05214656563432	5.76713924663215	6.07294237436264	6.0218505602239	5.99017108727273	6.07521288549157
NGF	5.79483545832342	5.47714571168994	5.20839148788088	5.53402182934596	5.7517924415714	5.45855721498334	5.53736625255098
EGF	7.25859847968535	8.32399464798712	7.96442544963951	8.20918516380874	8.09866632848836	7.92986494718665	7.78439387766456
BDNF	11.3451107408666	11.4778176518362	11.3825590958883	11.6981657598597	11.6963295902521	11.5905944020022	11.6702851095832
TRAIL	7.34802740312086	6.95526396758991	6.75929249775267	6.865784758565	7.48423986293416	6.93551702339605	7.07483406461556
GCSF	5.898668624017	5.70343680921694	5.4520473875181	5.71898521069051	5.91856148821161	5.92224014552792	5.79666391884899
GROA	5.91595766840142	5.34414021222391	5.06768763994485	5.28462787399228	5.24538796000926	5.24782119226519	5.43139985939176
IL1A	8.04898978450717	7.46278648335236	7.26498852654225	7.4587371622514	7.90962486927408	7.58205481896665	7.7187036787058
IL23	6.59351084135025	5.80280206077342	5.52524237908818	5.87245424379324	5.87092130350306	5.84246245531133	5.72514586191406
IL12P40	8.07711451559728	7.85323836292808	7.86922062720789	8.09853164568941	8.09066534505121	7.9735301090395	8.23159050900416
IL15	6.09049978049093	5.77622322872446	5.62885803470467	5.76969579273912	6.14507435215826	5.75437383857774	5.899739725288
IL18	8.32662409009319	8.05438059322484	7.79839467585683	8.00482585079414	8.11966201174822	7.9775314418714	8.09093473197158
MCSF	6.80460969694078	6.01174290059126	5.88119855522067	6.12765716579421	6.16836841543444	6.08926967589192	6.11141179912347
MCP3	5.96921638085806	5.46799079397495	5.42743847155915	5.56841973698809	5.74002217741443	5.54311770581725	5.76453544324941
MIG	6.52244383274168	6.1691666729157	5.70678497452309	6.11604662495306	6.81751433887157	6.10541226391846	6.46640165425065
RESISTIN	10.6779016216313	10.4404620173171	10.4536208844861	10.2900081395551	10.339207569087	10.3837010813667	10.6646070904482
IL21	5.84791724675869	5.39971206366767	5.23142971967813	5.34759710620552	6.19161853424371	5.3768514625865	5.57684520154812
ICAM1	9.69377803435712	8.12763875764652	9.05995493968602	9.38207081064667	9.50668690577382	9.047936286746	9.48097040535767
VCAM1	13.994572823907	13.9660231730384	13.9765519800342	13.9726886464385	13.9498900626797	13.9330666866533	13.98194512458
FGFB	6.4141859972703	5.97034328113373	5.66622997615116	5.96319647530815	6.00924592105929	5.91056596059636	5.90054903966469
IL22	7.51802000149404	6.71577494111388	6.96423922585407	6.87928217518057	7.0333507708424	6.81035979993416	7.71879044373909
PDGFBB	7.42128305235175	7.10875309835029	7.31814740461222	7.434907514933	7.77418153279411	7.70902896222351	8.04176212296222
VEGF	8.59960664572667	8.41591328903183	8.24816663138626	8.39210499816362	8.874946268756	8.41773092936196	8.7491131876797
LEPTIN	9.99726929205384	9.98813542155384	10.9653418068462	11.1110701285024	10.7841074819952	11.7132121609737	11.50560923523
PAI1	12.9003858155929	12.8819282817006	12.9831381167541	13.0075850978274	12.9960529140363	12.9229795929232	13.0946874836411
CD40L	8.02754690364629	7.98577172588171	7.89628525282618	8.10138141329378	8.45240168042197	8.23262712446613	8.30471688583147
ENA78	8.90673502910851	8.45317851131873	8.73374225306118	8.7102660924527	8.70014621906719	8.89864137994804	8.61137510174106
CHEX1	13.3010217004218	13.3207399865488	13.3200831517609	13.3291024516137	13.3170748185005	13.3133707324215	13.3065184602309
CHEX2	9.54289581721181	9.15531507417263	9.51664761643498	9.24403506064211	9.2123451993885	9.26609850586975	9.43362266703754
CHEX3	10.1506482296505	10.0526336277498	10.3115436172731	10.0601933778361	10.131263935404	10.1101550989264	10.2104390857077
CHEX4	4.085880427078	3.84011361870126	3.91624359502077	4.07332534735513	3.88765861879255	3.94767334445647	4.17322633497139
